build,repeat,client,mode,size,concurrency,rounds,seconds,client_cpu_seconds,mib_per_second,first_item_seconds,rss_before_kib,rss_after_close_kib,rss_peak,failed_requests,open_failed,active_requests
candidate,0,sync,lines,65536,10,8,1.5219643749296665,1.5649629999999999,49.64415847676569,0.00626175053184852,39840,58624,61571072,0,0,0
baseline,0,sync,buffered,65536,1,128,0.0536478339927271,0.063338,2385.9304369558076,0.0003896039561368525,39776,48032,49528832,0,0,0
candidate,0,sync,buffered,65536,1,128,0.054209499969147146,0.064161,2361.209752402255,0.00038910401053726673,39728,48560,50036736,0,0,0
baseline,0,sync,buffered,65536,10,32,0.09360262495465577,0.24880900000000003,3418.707543244847,0.002431708504445851,39728,77664,80986112,0,0,0
candidate,0,sync,buffered,65536,10,32,0.09237658302299678,0.25914,3464.0813670314833,0.0024619585601612926,39872,76896,80150528,0,0,0
baseline,0,async,bytes,4096,1,128,1.249583833036013,1.035633,102.43410375197375,0.00038170855259522796,39776,42768,44122112,0,0,0
candidate,0,async,bytes,4096,1,128,1.250128792016767,1.024283,102.38945044494523,0.00038112502079457045,39584,42208,43548672,0,0,0
baseline,0,async,bytes,4096,10,32,2.043435958912596,3.948781,156.59898642983964,0.0010201454861089587,39648,48896,50266112,0,0,0
candidate,0,async,bytes,4096,10,32,2.0035812499700114,3.8198890000000003,159.71401209947916,0.0009703750838525593,39664,49072,50479104,0,0,0
baseline,0,async,bytes,65536,1,128,0.1413325839675963,0.115428,905.6651793003863,0.00023068749578669667,39744,43328,44679168,0,0,0
candidate,0,async,bytes,65536,1,128,0.12593249999918044,0.11134700000000002,1016.4175252681637,0.0002247710363008082,39824,42800,44154880,0,0,0
baseline,0,async,bytes,65536,10,32,0.17106858303304762,0.365453,1870.594789098015,0.0008304789662361145,39648,52800,54280192,0,0,0
candidate,0,async,bytes,65536,10,32,0.17107200005557388,0.352453,1870.5574255053186,0.0008571459911763668,39792,54784,56344576,0,0,0
baseline,0,async,bytes,262144,1,128,0.07636658300179988,0.06962400000000002,1676.1257996443703,0.00021939596626907587,39664,44304,45694976,0,0,0
candidate,0,async,bytes,262144,1,128,0.07438520900905132,0.06708899999999998,1720.7722033075788,0.00021522899623960257,39712,43808,45170688,0,0,0
baseline,0,async,bytes,262144,10,32,0.0981097910553217,0.211067,3261.652038577474,0.0009541665203869343,39456,59280,60915712,0,0,0
candidate,0,async,bytes,262144,10,32,0.09562333300709724,0.198433,3346.4635663374056,0.0009426039760001004,39952,59056,60686336,0,0,0
baseline,0,async,drip,65536,1,16,0.41305129206739366,0.04591200000000001,38.73610930961434,0.0005503540160134435,39792,43072,44400640,0,0,0
candidate,0,async,drip,65536,1,16,0.4005802500760183,0.04371799999999999,39.94205904300992,0.0006483744946308434,40032,42848,44171264,0,0,0
baseline,0,async,drip,65536,10,16,0.4104259159648791,0.23913500000000001,389.8389301851287,0.0008847914868965745,39856,50880,52314112,0,0,0
candidate,0,async,drip,65536,10,16,0.40667979198042303,0.21686899999999998,393.42992485769287,0.0007709374185651541,39664,49584,50970624,0,0,0
baseline,0,async,close,65536,1,16,0.006868167081847787,0.005281000000000008,17.983155173746997,0.0003573329886421561,39984,42624,43958272,18,0,0
candidate,0,async,close,65536,1,16,0.007621208089403808,0.005863000000000007,16.125678067128884,0.000393062480725348,39568,42160,43565056,18,0,0
baseline,0,async,close,65536,10,16,0.551053375005722,0.091541,2.2578068707763963,0.002913520555011928,39792,43632,44974080,180,0,0
candidate,0,async,close,65536,10,16,0.5462667499668896,0.088222,2.2775907490760754,0.003116020525339991,39600,43632,44941312,180,0,0
baseline,0,async,lines,65536,1,8,0.20201516698580235,0.19964799999999996,37.40146928191294,0.0005664170021191239,39696,43056,44335104,0,0,0
candidate,0,async,lines,65536,1,8,0.204571875045076,0.202234,36.934031429467815,0.0005872919573448598,39872,43072,44367872,0,0,0
baseline,0,async,lines,65536,10,8,1.9581344589823857,2.0078329999999998,38.58603288369977,0.009014271025080234,39424,55680,57180160,0,0,0
candidate,0,async,lines,65536,10,8,1.958565125009045,2.003065,38.57754825724831,0.008235791465267539,39536,55504,56999936,0,0,0
baseline,0,async,buffered,65536,1,128,0.06073237501550466,0.053953000000000015,2107.60735056586,0.00041335454443469644,39920,49120,50659328,0,0,0
candidate,0,async,buffered,65536,1,128,0.057159916032105684,0.050504999999999994,2239.3314911117914,0.00039852102054283023,39888,48512,50003968,0,0,0
baseline,0,async,buffered,65536,10,32,0.10312429105397314,0.153269,3103.051635356393,0.0028001460595987737,39616,75168,77234176,0,0,0
candidate,0,async,buffered,65536,10,32,0.09920545795466751,0.153421,3225.628978460296,0.00277427100809291,39424,77440,79527936,0,0,0
candidate,1,sync,bytes,4096,1,128,0.3604369160020724,0.41983200000000004,355.1245566624037,0.00020195846445858479,39936,43232,44597248,0,0,0
baseline,1,sync,bytes,4096,1,128,0.3503077500499785,0.420705,365.39300081639135,0.00021133292466402054,39808,42208,43597824,0,0,0
candidate,1,sync,bytes,4096,10,32,1.0809579169144854,3.728219,296.03372619113276,0.0005492714699357748,39840,51520,54329344,0,0,0
baseline,1,sync,bytes,4096,10,32,1.0833281659288332,3.812297,295.38602434991213,0.0005600830190815032,39568,48336,51118080,0,0,0
candidate,1,sync,bytes,65536,1,128,0.05147741595283151,0.063993,2486.5272980540776,0.00013104145182296634,39776,43968,45350912,0,0,0
baseline,1,sync,bytes,65536,1,128,0.054623916978016496,0.06930599999999999,2343.295887248691,0.0001346039935015142,39536,42736,44105728,0,0,0
candidate,1,sync,bytes,65536,10,32,0.10427112493198365,0.32303,3068.9224865343776,0.0004898749757558107,40016,55920,58834944,0,0,0
baseline,1,sync,bytes,65536,10,32,0.10487712500616908,0.321451,3051.189665822523,0.0005140414577908814,39952,51776,54624256,0,0,0
candidate,1,sync,bytes,262144,1,128,0.03930979105643928,0.049869,3256.186221295941,0.00014160445425659418,39904,44656,46071808,0,0,0
baseline,1,sync,bytes,262144,1,128,0.041252790950238705,0.05050199999999999,3102.8203680667416,0.00014393747551366687,39776,44928,46317568,0,0,0
candidate,1,sync,bytes,262144,10,32,0.06378233293071389,0.18242000000000003,5017.063272797073,0.000535333005245775,39856,60000,63012864,0,0,0
baseline,1,sync,bytes,262144,10,32,0.06312937499023974,0.18055700000000002,5068.955617721137,0.0005597284762188792,39776,57456,60456960,0,0,0
candidate,1,sync,drip,65536,1,16,0.4034250839613378,0.027789000000000008,39.66039950439313,0.0005653335247188807,39584,42864,44187648,0,0,0
baseline,1,sync,drip,65536,1,16,0.39961995789781213,0.025790999999999994,40.03804035255767,0.00043952104169875383,39440,42416,43745280,0,0,0
candidate,1,sync,drip,65536,10,16,0.41955175006296486,0.177213,381.35939124550845,0.0006043749745003879,39632,50832,53624832,0,0,0
baseline,1,sync,drip,65536,10,16,0.4109431250253692,0.176473,389.34828266106786,0.0005889374297112226,39520,48000,50774016,0,0,0
candidate,1,sync,close,65536,1,16,0.004932417068630457,0.004063000000000011,24.947340824005398,0.00027156248688697815,39584,41920,43286528,18,0,0
baseline,1,sync,close,65536,1,16,0.006097625009715557,0.004376000000000005,20.180101187135104,0.00035268691135570407,39696,42080,43384832,18,0,0
candidate,1,sync,close,65536,10,16,0.5419761250959709,0.07483600000000001,2.2930718985968257,0.0018784794956445694,39760,42480,45072384,180,0,0
baseline,1,sync,close,65536,10,16,0.5128637499874458,0.06978900000000002,2.4217397200984956,0.0023041460081003606,39952,43024,45678592,180,0,0
candidate,1,sync,lines,65536,1,8,0.16247558302711695,0.16193400000000002,46.50338174960708,0.0005251250113360584,39632,43760,45072384,0,0,0
baseline,1,sync,lines,65536,1,8,0.15702391602098942,0.15704600000000002,48.117918938475796,0.0005197915597818792,39824,43200,44515328,0,0,0
candidate,1,sync,lines,65536,10,8,1.5327727500116453,1.5764729999999998,49.29409178524733,0.006930396019015461,40032,55056,57933824,0,0,0
baseline,1,sync,lines,65536,10,8,1.566741041955538,1.613731,48.2253535215325,0.006921583495568484,39648,52864,55738368,0,0,0
candidate,1,sync,buffered,65536,1,128,0.06999125005677342,0.074773,1828.8000270915688,0.0004315414698794484,39776,50576,52101120,0,0,0
baseline,1,sync,buffered,65536,1,128,0.054442749940790236,0.064795,2351.093582510209,0.0003988959942944348,39712,48640,50135040,0,0,0
candidate,1,sync,buffered,65536,10,32,0.091667165979743,0.258148,3490.8900758502227,0.0024588335072621703,39664,72880,76038144,0,0,0
baseline,1,sync,buffered,65536,10,32,0.09428070799913257,0.256994,3394.1196114367763,0.002540333429351449,39552,77728,81051648,0,0,0
candidate,1,async,bytes,4096,1,128,1.2396372919902205,1.0214130000000001,103.25600950137421,0.00037520850310102105,39888,42944,44318720,0,0,0
baseline,1,async,bytes,4096,1,128,1.2595697500510141,1.0386739999999999,101.62200227086737,0.0003849584609270096,39856,42592,43941888,0,0,0
candidate,1,async,bytes,4096,10,32,2.023536292021163,3.8885350000000005,158.13899719108835,0.0009418749832548201,39872,49376,50774016,0,0,0
baseline,1,async,bytes,4096,10,32,2.028626792016439,3.9456179999999996,157.74217379921444,0.0009707500576041639,39904,49728,51134464,0,0,0
candidate,1,async,bytes,65536,1,128,0.13113683403935283,0.11070699999999999,976.0796875848665,0.00022202101536095142,39584,43024,44367872,0,0,0
baseline,1,async,bytes,65536,1,128,0.14156554092187434,0.119494,904.1748377921945,0.00023685453925281763,39712,43152,44515328,0,0,0
candidate,1,async,bytes,65536,10,32,0.16678416694048792,0.34442700000000004,1918.647350465723,0.0008293539867736399,39680,51648,53116928,0,0,0
baseline,1,async,bytes,65536,10,32,0.1707966250833124,0.361525,1873.5733205729805,0.0008295829757116735,39776,53120,54624256,0,0,0
candidate,1,async,bytes,262144,1,128,0.07347058306913823,0.066394,1742.1938775080607,0.00021514599211513996,39984,43520,44875776,0,0,0
baseline,1,async,bytes,262144,1,128,0.07864491699729115,0.07199499999999999,1627.5686323683049,0.00022566650295630097,39760,44208,45580288,0,0,0
candidate,1,async,bytes,262144,10,32,0.09398674999829382,0.195592,3404.735241997506,0.0009119579917751253,39744,57184,58785792,0,0,0
baseline,1,async,bytes,262144,10,32,0.09898954094387591,0.206623,3232.664753758484,0.0009717289940454066,39904,60320,61997056,0,0,0
candidate,1,async,drip,65536,1,16,0.40743141691200435,0.042198,39.27041297224172,0.0006879169377498329,39776,42720,44089344,0,0,0
baseline,1,async,drip,65536,1,16,0.4021260419394821,0.03930399999999999,39.78851984524772,0.0004968959838151932,39648,42816,44154880,0,0,0
candidate,1,async,drip,65536,10,16,0.40828350000083447,0.226136,391.8845606047587,0.0007703120354562998,39744,49248,50659328,0,0,0
baseline,1,async,drip,65536,10,16,0.4020132910227403,0.219566,397.99679158107597,0.0008459995151497424,39840,48608,49987584,0,0,0
candidate,1,async,close,65536,1,16,0.006945332977920771,0.005263000000000004,17.960211167437,0.0003563340287655592,39888,42496,43843584,18,0,0
baseline,1,async,close,65536,1,16,0.007137832930311561,0.005095000000000002,17.303755299116908,0.0003456455306150019,40000,42640,43974656,18,0,0
candidate,1,async,close,65536,10,16,0.5429697500076145,0.080059,2.289158399184263,0.0023702295147813857,39968,43600,44924928,180,0,0
baseline,1,async,close,65536,10,16,0.5371086249360815,0.07583700000000002,2.318998266849915,0.001920854498166591,39792,43424,44728320,180,0,0
candidate,1,async,lines,65536,1,8,0.20059483300428838,0.199176,37.66629453680132,0.0005726454546675086,39760,43152,44433408,0,0,0
baseline,1,async,lines,65536,1,8,0.20513333391863853,0.203579,36.83294137605535,0.0005459794774651527,39536,43104,44384256,0,0,0
candidate,1,async,lines,65536,10,8,1.9440671670017764,1.9871580000000002,38.865241853514085,0.007763500034343451,39536,55216,56721408,0,0,0
baseline,1,async,lines,65536,10,8,1.9085028748959303,1.9489490000000003,39.58948221606429,0.009743146016262472,39888,55696,57196544,0,0,0
candidate,1,async,buffered,65536,1,128,0.06287904200144112,0.05347300000000001,2035.6544235687684,0.000402687001042068,39888,49408,50921472,0,0,0
baseline,1,async,buffered,65536,1,128,0.06092412502039224,0.050573999999999994,2100.9739566576695,0.0003967915545217693,39648,48688,50184192,0,0,0
candidate,1,async,buffered,65536,10,32,0.10090125002898276,0.150679,3171.4175979790493,0.0027563750045374036,39856,74896,76955648,0,0,0
baseline,1,async,buffered,65536,10,32,0.10337262495886534,0.154173,3095.5971189406896,0.0028318334952928126,39808,74912,76939264,0,0,0
baseline,2,sync,bytes,4096,1,128,0.3468637919286266,0.416251,369.02093264995005,0.00020081258844584227,39552,41984,43335680,0,0,0
candidate,2,sync,bytes,4096,1,128,0.3452327500563115,0.41302700000000003,370.76436108428794,0.0002047289744950831,39968,43184,44531712,0,0,0
baseline,2,sync,bytes,4096,10,32,1.0893355410080403,3.8116669999999995,293.75705460218535,0.0005777494516223669,39920,48800,51593216,0,0,0
candidate,2,sync,bytes,4096,10,32,1.0744464170420542,3.725648,297.82778826789564,0.0005402715178206563,39936,50080,52854784,0,0,0
baseline,2,sync,bytes,65536,1,128,0.061702791950665414,0.07448300000000001,2074.460424778552,0.00014887546421959996,39888,42976,44351488,0,0,0
candidate,2,sync,bytes,65536,1,128,0.05224824999459088,0.06512299999999999,2449.842817955654,0.00013360398588702083,39904,43840,45219840,0,0,0
baseline,2,sync,bytes,65536,10,32,0.11733933305367827,0.318716,2727.133278093648,0.0005347295082174242,39920,51552,54411264,0,0,0
candidate,2,sync,bytes,65536,10,32,0.1053987080231309,0.326274,3036.090346854845,0.0005023539997637272,39968,56384,59310080,0,0,0
baseline,2,sync,bytes,262144,1,128,0.039394416962750256,0.048802,3249.191379606698,0.0001396250445395708,39728,44032,45400064,0,0,0
candidate,2,sync,bytes,262144,1,128,0.040028874995186925,0.05113199999999998,3197.69166671286,0.00014299998292699456,39920,44544,45940736,0,0,0
baseline,2,sync,bytes,262144,10,32,0.06302158301696181,0.18441500000000002,5077.625547963057,0.0005483130225911736,40016,58816,61849600,0,0,0
candidate,2,sync,bytes,262144,10,32,0.06584520894102752,0.18652300000000002,4859.882824376779,0.0005276454612612724,39760,58688,61669376,0,0,0
baseline,2,sync,drip,65536,1,16,0.39286895794793963,0.019999000000000003,40.7260479004814,0.0003711670287884772,39840,42528,43876352,0,0,0
candidate,2,sync,drip,65536,1,16,0.3929440419888124,0.021711999999999995,40.718265936846905,0.00035385403316468,39776,42944,44318720,0,0,0
baseline,2,sync,drip,65536,10,16,0.39937275007832795,0.14694400000000002,400.62823507267234,0.0004797290894202888,39776,47920,50692096,0,0,0
candidate,2,sync,drip,65536,10,16,0.4061340839834884,0.16438,393.9585627255675,0.0005663540214300156,39872,51200,54001664,0,0,0
baseline,2,sync,close,65536,1,16,0.005106416996568441,0.004170999999999994,24.18747126901124,0.0002694794675335288,40032,42432,43745280,18,0,0
candidate,2,sync,close,65536,1,16,0.006301917019300163,0.0046599999999999975,19.57464251740457,0.0003232919843867421,39648,42064,43384832,18,0,0
baseline,2,sync,close,65536,10,16,0.5333356249611825,0.07133400000000001,2.3310853216551584,0.001548145490232855,39552,42480,45121536,180,0,0
candidate,2,sync,close,65536,10,16,0.5354689999949187,0.07246,2.3226582147041555,0.0019909790717065334,39840,42704,45301760,180,0,0
baseline,2,sync,lines,65536,1,8,0.16109220799989998,0.161301,46.90272829648403,0.0005302914651110768,39680,43200,44482560,0,0,0
candidate,2,sync,lines,65536,1,8,0.16342050000093877,0.160765,46.23449360671761,0.0005206255009397864,39888,45056,46399488,0,0,0
baseline,2,sync,lines,65536,10,8,1.546385750058107,1.590017,48.86015059448193,0.007291291549336165,39808,54432,57344000,0,0,0
candidate,2,sync,lines,65536,10,8,1.5532637080177665,1.592957,48.64379450507046,0.007012396061327308,39712,54880,57769984,0,0,0
baseline,2,sync,buffered,65536,1,128,0.053786540986038744,0.06411700000000001,2379.7774992302384,0.000395791488699615,39872,47200,48660480,0,0,0
candidate,2,sync,buffered,65536,1,128,0.05753187497612089,0.067957,2224.853614681036,0.0004158749943599105,39856,49424,50937856,0,0,0
baseline,2,sync,buffered,65536,10,32,0.09888549998868257,0.256775,3236.065955439614,0.0024461044813506305,39824,73776,77004800,0,0,0
candidate,2,sync,buffered,65536,10,32,0.09259091701824218,0.256556,3456.06254160928,0.0024826040607877076,40032,76704,79953920,0,0,0
baseline,2,async,bytes,4096,1,128,1.2523546249140054,1.036735,102.20747179241606,0.000382041500415653,39728,42576,43909120,0,0,0
candidate,2,async,bytes,4096,1,128,1.251411624951288,1.031644,102.28449012928297,0.00038243702147156,39808,42544,43876352,0,0,0
baseline,2,async,bytes,4096,10,32,2.035711208009161,3.9714359999999997,157.19322010951956,0.0009678954957053065,39776,49472,50872320,0,0,0
candidate,2,async,bytes,4096,10,32,2.0192762080114335,3.851519,158.47262436431782,0.0009369380422867835,39824,49824,51232768,0,0,0
baseline,2,async,bytes,65536,1,128,0.13159029197413474,0.11020500000000001,972.7161333843651,0.00022091646678745747,39984,43056,44400640,0,0,0
candidate,2,async,bytes,65536,1,128,0.12807712494395673,0.112548,999.3978242095106,0.00023885350674390793,39840,43440,44793856,0,0,0
baseline,2,async,bytes,65536,10,32,0.17131674999836832,0.36262,1867.885072551562,0.000832167046610266,39632,55616,57180160,0,0,0
candidate,2,async,bytes,65536,10,32,0.16707212501205504,0.347376,1915.3404553686648,0.0008323125075548887,39744,51392,52854784,0,0,0
baseline,2,async,bytes,262144,1,128,0.0783620000584051,0.07065,1633.444780692153,0.00022027053637430072,39760,45296,46710784,0,0,0
candidate,2,async,bytes,262144,1,128,0.07691099995281547,0.06927699999999999,1664.2612900433928,0.00021908397320657969,39840,43952,45350912,0,0,0
